objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,imag0001.jpg,,goblin on goblin knob,Storying Extinction,4/2/21,Image of a coyote on a logging road in the Selkirk Mountains of Idaho,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,imag0084.mp4,sOGfDDoV0a8,approaching storm,Storying Extinction,4/19/21,early spring storm in the Selkirks,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,1080p video,mp4,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,imag0183.jpg,,shadow elk,Storying Extinction,5/8/21,partially shaded elk beginning to shed winter coat,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,imag0184.mp4,_XggNmIaIPQ,elk on a stroll,Storying Extinction,5/8/21,solitary elk rejoices in the arrival of spring by strolling down a forest boulevard  ,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,1080p video,mp4,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,imag0205.jpg,,nightfall,Storying Extinction,5/13/21,last glimmer of light seen to the northwest as night falls on the Selkirks,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,imag0207.jpg,,bull in velvet,Storying Extinction,5/13/21,new antler growth beginning to emerge on a bull moose,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,imag0208.mp4,hSoJhklMuU,moose kiss,Storying Extinction,5/13/21,bull moose investigates the camera,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,1080p video,mp4,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,imag0225.jpg,,buck browsing,Storying Extinction,5/18/21,small whitetail buck with antler nubs browsing on a logging road,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll09,imag0336.mp4,kYlTzE1nWMY,whitetail flagging,Storying Extinction,5/23/21,young buck gets spooked by something off camera—was it a goblin?,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,1080p video,mp4,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,imag0410.mp4,Dcv0rgzm6Zk,bear hunter,Storying Extinction,5/23/21,hunter searching for black bear which can often be found in the spring along logging roads eating grass shoots ,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,1080p video,mp4,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,imag0420.mp4,ryZBYsTonpE,elk and calf,Storying Extinction,5/29/21,cow elk with last year's calf which made it through the winter,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,1080p video,mp4,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,imag0422.mp4,tRBTY9-Pd5g,rounding the bend,Storying Extinction,5/29/21,cow and calf walking the road in search of tender greens,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,1080p video,mp4,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,imag.0019.jpg,,sunset on goblin knob,Storying Extinction,4/13/21,sun setting on spring snowpack in the Selkirks,Storying Extinction; mountain caribou; CDIL,"Priest Lake, Idaho",48.68085,-116.771129,Trail Camera,,Image;StillImage,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
